tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Dutch Open 00,2022/1/1,1,de Graaf Jan C.,,Dufour Mark,,A,,f5d6c3f4f6d3c6g6e6e7f8c5h6d7e8c7b6c8c4b4a3b5d2a4a5f7b3c2e2e3f2f3d1f1e1c1g8a6a7b2g7h8d8b7g5h7g4h3h4g2h5g3a1a2b1a8g1h2h1b8,
Dutch Open 00,2022/1/1,2,van den Berg Erwin,,de Graaf Jan C.,,A,,f5f6e6f4c3d7e3d6e7f8g4f3g5h4c7h3g3c6c5b6e8d8c8c4d3b5g8f7b4b7h6h5h2d2e2c2d1f1e1c1f2g1b3a3b2a1a2a4b1g2g6g7h7a8a7h8b8a5a6h1,
Dutch Open 00,2022/1/1,3,Helling Koen,,de Graaf Jan C.,,A,,f5f6e6f4f3c5g4d6e7g5c7e3c6d3g3h4h3g6e2d2b5f1c4c3f2h5f7h2d1c1b1c2b3a3a4b4a2f8e8a6d7b6h7g1g7e1h1h6g8c8g2d8b8h8b2a8a7b7a5a1,
Dutch Open 00,2022/1/1,4,de Graaf Jan C.,,Hobo Roel,,A,,f5d6c3d3c4f4e6f6e3c5c6b6c7b5e7d7d8f8g3b8g6h6g7f3e8c8b4a3f7g4h4h5a4a5a7g5h7h3h2a6a2f2d2c1f1e2d1e1b1g2b3c2h1g1b2a1b7g8a8,
Dutch Open 00,2022/1/1,5,de Graaf Jan C.,,Sneek Marcel,,A,,f5d6c3d3c4f4e6b3e2c5c6e3d2f6f3c2g3g4g6e7b4g5b6f1e1b5d7c8d8e8c7h6h4d1h5a6a4f2a3h3f8g8f7a5a7b8g7h7g1h1h8b2h2g2b1a1a8a2b7c1,
Dutch Open 00,2022/1/1,6,v/d Biggelaar Nicky,,de Graaf Jan C.,,A,,f5f6e6f4g6c5f3g4e3d6g5h5h3d2d3h4h6g3c4e2d7c6h2c2b4e7f2c3c1d1b3b1f1a3a5c8f7e1a1g1e8c7d8a4a2g2b8b5h1b2a6b6a7h7h8g7f8g8b7a8,
Dutch Open 00,2022/1/1,7,de Graaf Jan C.,,Blankendaal Judith,,A,,f5f6e6f4g5e7f7g6h5d7d6h7h6h4f8d8e3d3g3g4f3c6c4c5c3b4b3c2d2c1f2f1h3h2e2e8c8c7a3a5b8b5a4b6a6g2g8b2a1a2h1g1h8e1g7a7a8b7b1d1,
Dutch Open 01,2022/1/1,1,Aubroeck Patrick,,Zillig Remko,,A,,f5f6e6f4c3d6f3c5g4h3e7g3c4d7g5h6f7g6c8e8g8f8d8c7b5f2b6c6e3d2e1c1f1d3e2a6d1g1g2h1g7h8h7b8h2b3c2a5b4a4a3h5h4b1a7b2b7a8a2a1,
Dutch Open 01,2022/1/1,2,Zillig Remko,,de Graaf Jan C.,,A,,f5f6e6f4c3d7f3d6e7f8g5h6g3g4h4c5e8d8c4d3e3e2d2f2f1e1d1h2c6b6h3h5g6f7b5a5g8h8h7g7h1b4b3a2a4a3g1c2c7c8a7b7a8b8a6g2a1b1b2c1,
Dutch Open 01,2022/1/1,3,Zillig Remko,,Bertrandias Marc,,A,,f5d6c5f4d3e3g4g5e6f6e2h4g6b5e7d7c6f8c4b6c7f7h5c3h3b4f3c8b7d2d1f1f2h7a7a5a3a4a6b3h6h2a2c2b1g3g2e1c1a1b2a8b8d8e8g7h8g8h1g1,
Dutch Open 01,2022/1/1,4,Zillig Remko,,Sneek Marcel,,A,,f5d6c5f4d3e3g4g5e6c4g3f6f3b4e7e2h6g6f7c6c2d2e1f1g1f2d1h3h4h5h2g7c1d8e8g8c8d7c7b7h7b1a1g2b8a8b5h1a7h8b2c3b6f8b3a2a3a6a5a4,
Dutch Open 01,2022/1/1,5,Blijleven Mireille,,Zillig Remko,,A,,f5f6e6f4e3d6c6c5e7d7g4d3f3c4b5e2e8g5h5f8c7d8g3g6d2f2c8f7g8h6h7h3b3a5e1b4c3b6a4b7g7h8h4c2b1d1c1f1g1g2h1h2a8b8a7a6b2a1a2a3,
Dutch Open 01,2022/1/1,6,van den Berg Erwin,,Aubroeck Patrick,,A,,f5d6c3d3c4b5b4f4f6f3g4g5e3h3c7a4g6e6c6c5b6d7h5f7h4g3e2h6a3f2b3c8a5e1e7d8f8d2e8g8g7c2b2a6f1a2b1d1c1g2b8a8a7b7a1h7h8g1h2h1,
Dutch Open 01,2022/1/1,7,van den Berg Erwin,,de Graaf Jan C.,,A,,f5f6e6f4c3d7e3d6e7f8g4f3g5g3f2h3h5f1g6h6h7d2e2c4d3g2b4c5h1g1c2e1d1a4b6b5e8d8f7a7a5a6b3c6c7a3b2g8g7c8b8a8b7a2h2h4h8a1b1c1,
Dutch Open 01,2022/1/1,8,Hobo Roel,,van den Berg Erwin,,A,,f5d6c3f4f6g5e6f3e3c4g4d3c6h5h3g6f2h4g3e2h6f1d1e1g1e7e8d7b3f8c8d8g8f7c5b4a4b5d2c7b8c2a6b7c1b2b6a8a1a7b1a5g2h8a3h7g7h2h1a2,
Dutch Open 01,2022/1/1,9,Dufour Mark,,van den Berg Erwin,,A,,f5d6c5f4d3e3g4g5e6c4g3c6f3c2c3f6h6g6f7h5h4d2b5f2b4b6f1h2e2e1d1c1b1g2c7h3d7a5e7h7a4a3h1g1h8g7g8a1b3a6a7a2b2b8c8a8b7d8e8f8,
Dutch Open 01,2022/1/1,10,Aubroeck Patrick,,de Graaf Jan C.,,A,,f5f6e6f4c3d7f3d6g5h6e7f8c6c7d8b6e8c8c5f7g3g4h4b5b4c4a6a3a5b3d3a4b7h3h5c2d2g6e3d1b8e2g8a8a7f2b2g2g7h8h7b1h1h2f1g1e1c1a1a2,
Dutch Open 01,2022/1/1,11,Hobo Roel,,Aubroeck Patrick,,A,,f5d6c3d3c4b5e3c2b3d2b4c5e6f2a6f4c6a3c1a4f6b6g3c7a5a7d7e8b2f7f8e7d8g4c8g6h6b7d1e2a8b8a2e1h3g5h5h7f1a1b1g1f3g7g2h1h8g8h2h4,
Dutch Open 01,2022/1/1,12,Aubroeck Patrick,,Bertrandias Marc,,A,,f5d6c4d3e6f4e3f6c5e2f3f2g5c3g4g6d2b4b6b5g3h5h4h3e1f1e7c1g1f7c6f8d7d8h6h7c8g7e8c7g2h1h2d1a5a7a4a3c2b3a2a6a8b8b2a1h8b1g8b7,
Dutch Open 01,2022/1/1,13,Aubroeck Patrick,,Sneek Marcel,,A,,f5d6c4d3e6f6e7f4c5b4g6b6g5c6g3g4f3e2f2h5e3d2e1c7h6h3c1d1c2c3d7b3a6d8e8c8b5f8h4h7g2a4f7a5a3b2a1g8b1h1h2g1f1a2h8g7b8a7a8b7,
Dutch Open 01,2022/1/1,14,Bronstring Mischa,,de Graaf Jan C.,,A,,f5f6e6f4e3c5c4d6c6b3d7d3f3d2e2c3b4a5c1b5b6e7c2a6c7c8g4d8a3f1d1h3h5f2a4a2f8f7g3e1g1g5e8g8h6b2g6h4g7g2h1h2a1b1a7b7a8b8h8h7,
Dutch Open 01,2022/1/1,15,Sneek Marcel,,Bronstring Mischa,,A,,f5f6e6f4e3c5c6d6e7f7c7d3c4f3c3e8g5g4h4h3g6d7d2e2f8c1f2g3h5h6f1d1d8c2g2e1g1b3b4a5b2b6g7b5a6h7a2a4a3b8c8h8g8b7a8a1b1a7h2h1,
Dutch Open 01,2022/1/1,16,de Graaf Jan C.,,Hobo Roel,,A,,f5f6e6f4g5e7f7h5e3d3g3g4f3g6c4f2f1d2e2f8h3h4h6d1c1b1g2c2e1b4c3h1a1d6c5d7c7b5b6b3e8d8c8b8c6g8a6a4a3h2g7b2g1a2a5b7a8a7h8h7,
Dutch Open 01,2022/1/1,17,de Graaf Jan C.,,Bertrandias Marc,,A,,f5d6c3d3c4f4e6f6e3c5c6b5d7c7e7e8d8f8g8f3f7b4g4g5e2d2d1f2g3c1c2f1e1h4b3g2g6h6g7c8b8a2a3a4a5a6b6b7a8b2a1a7b1h8h7h5h3h1h2g1,
Dutch Open 01,2022/1/1,18,de Graaf Jan C.,,Sneek Linda,,A,,f5f6e6f4g5g6e7d7d6c7c6b5h6c5c8f8e8d8g8h5h4f7g4h7h8h3g3h2g2f1g7f3h1g1f2e1b8e3b7b6a5,
Dutch Open 01,2022/1/1,19,Blijleven Mireille,,Hobo Roel,,A,,f5f6e6f4e3c5c4d3f3e2f2d2c3e7g4g5h5g3f1h6g6h4f7d1d8f8h3h2c6e8g8h7d6c2e1g1b1b2b4b3c1a1a3d7a2c7c8b5a5a4a6a7b8b6b7a8g2h1g7h8,
Dutch Open 01,2022/1/1,20,Dufour Mark,,Hobo Roel,,A,,f5f6e6f4g5e7f7h5d3f8f3d6g4e3d7g6g3c8g7f2e2c6f1c5b5a4a5a6d8e8b7c7b8a8g8b6a7h8a3a2h7h6h4h3h2g2d1d2c1c2b3b2b4c4c3e1b1a1g1,
Dutch Open 01,2022/1/1,21,Ilbrink Jarl,,Hobo Roel,,A,,f5f6e6f4e3c5c4d3f3e2g5e7g4h6h5h4f2d2e1g6e8g3h3h2f7c3d1c2b6f8g8d7g7d6b5c1b1b3b4a4a5a3a2c6d8h7c7c8g2a6a7h1b8h8g1f1a1a8b2b7,
Dutch Open 01,2022/1/1,22,Hobo Roel,,de Graaf Wendy,,A,,f5d6c3d3c4f4f6f3e6e7d7c6c5e8c7g4g5f7d2b8e3e2f1g3f2b6g6b5d8c8b4h4g7e1f8g1h5h8g8h7h6a3a4d1c1b1c2a5b3b2a8a6b7a2a1a7h1h2g2h3,
Dutch Open 01,2022/1/1,23,Bertrandias Marc,,Dufour Mark,,A,,f5d6c4d3c3f4c5b3c2e3d2b6b4a4c6e6b5a5g5e2f3f2e1c1f1d1b1d7a3g3g4h4h5g2f6a2e7f8e8h6g8d8c8f7g6h3g7c7a7b2b8h8h7a8a1a6b7h1h2g1,
Dutch Open 01,2022/1/1,24,Bertrandias Marc,,Ilbrink Jarl,,A,,f5f6e6f4e3c5c4d3c3e2f2c6d6d2b5e7e1c1f1d7c7b3f3g3d1g1b4c2e8a4a5a6a3a2b6a7f8c8f7d8b8b2g5g6g4h4a1b1a8g8b7h1g2h3h2h7h6h5g7h8,
Dutch Open 01,2022/1/1,25,Sirach Nick,,Bertrandias Marc,,A,,f5d6c4d3e6f6e7f4c5c6g5g4e3f7g6f8d8h6d7c8b8h5b6c3c7f2d2g3b3b5h3h4h7b4a3a4a5e2f1d1h2e1f3g1c1b1g2e8g8h1g7a7a6a2h8a8b7b2c2a1,
Dutch Open 01,2022/1/1,26,Bertrandias Marc,,Blankendaal Judith,,A,,f5f6e6f4e3c5c4d3c3b4f3e7b3d6a4a3a2e2d1d2g4f1f2g5g6g1c1c2f7b5e8g3b1c6h3h4h5h7b2g8c7d7h6h2c8g2a5b6f8a6a7b7h8d8g7b8a8h1e1,
Dutch Open 01,2022/1/1,27,Sneek Marcel,,Dufour Daniel,,A,,f5d6c3d3c4f4c5b3c2e3d2b6c6e6b5a5a4b4a6c7f2a2f3g5g6e2g4g3d1f6f7f1h3b1b7h4a3b2e1h5e7h2h6h7a1c1g1d7d8f8g7e8g8b8g2c8a8h8a7h1,
Dutch Open 01,2022/1/1,28,Sneek Marcel,,de Graaf Jasmijn,,A,,f5f6e6f4e3d6c4f3g3d3c5c3c6e2f2d2g4g5e1h4d7h3e7f1g1e8d1c2c1d8f7g6c7b6b5a4a5a6h6b3a3b4h5h7g2a2b7h1h2a8a7b1a1b2g8g7b8c8h8f8,
